City,Date,Temp,Humidity,Pressure,Wind,CO2,PM2.5,Noise,Light,Ozone,Rainfall
CityB,2018-08-16,0.47801997191289813,13.306498999171534,22.314586968419615,39.65823232260482,,51.34672946325742,73.5677194740187,80.3482009396054,,87.62404875979891
CityB,2019-11-27,18.584651103438084,,33.77078588629898,32.21496015362463,46.00812347288601,59.58107142699252,58.99797705759865,69.84645232999175,79.42654158459364,87.36201218567841
CityC,2019-09-24,7.46784623772006,27.9856267360188,12.59391932384258,32.19237223157191,47.7334418144315,63.086252587548344,72.9424678464028,77.38118058469927,90.1668505293424,94.04156567202536
CityB,2019-11-24,9.100835628757961,9.604853620476279,24.57407287986466,30.5539959040527,47.323005393055034,52.458825919302306,,80.4649278440026,90.9711784831981,95.9294910376901
CityB,2019-07-24,0.8243261170443845,16.76305488415717,19.07232463878754,33.29996314456802,49.65626127618465,54.35078750960146,70.43861708148341,68.30201854810574,85.91839381764518,95.32972701258022
CityA,2018-03-10,5.760773279549749,10.675104394675131,32.43843846595563,36.98412451651181,51.12944634635455,55.945516537292775,62.6326093585589,66.78306705911807,83.44384371467805,90.7111371415028
CityB,2018-06-11,,11.93711638926088,25.133535674419676,38.577322331933345,37.53465745553572,68.45132912866995,67.64263529502601,68.77081188304916,78.12418908551227,94.85375138999689
CityC,2020-03-05,1.017822550249851,22.06041756818886,28.5257374585658,27.36694959700438,36.84769021973981,49.8233202487942,67.99856147723239,70.94258338426462,81.28270286339877,93.87980110647385
CityB,2019-03-10,-2.8418567473004224,19.93040143278725,29.462973738798404,31.15943287426874,47.6341587473152,52.97741174915386,77.03743302038443,,91.43393797028492,89.50595670414587
CityB,2020-02-19,0.1608300006327683,3.6519424591322105,22.423173239296716,38.54012872320917,46.86887419733854,45.60584923210611,65.57858184512382,,94.78480009121328,97.10074605806034
CityB,2018-05-28,1.2501420759949546,16.567523093817982,20.903500064802035,30.288427554475998,47.58485720748496,60.12658781067256,,79.63710964772731,84.60941276576553,89.31373626644793
CityC,2018-08-26,3.896259788971811,8.95089818853142,23.429912285068134,27.012973095203684,56.97591020212627,54.87218770064885,70.10727163708889,78.86615463150325,83.44010795078457,91.04159039517279
CityC,2019-04-11,5.410221477413753,12.875266480755712,32.76117651470179,32.21905077648576,46.48499002021343,51.7596338386251,55.87173212438572,,85.65347268322128,92.79261049705781
CityA,2019-03-21,-4.013556503617263,23.745992627543117,,39.421288380644285,42.242999643949176,64.31435338807137,68.28667712125203,81.6557740621165,87.27631871082663,89.60430360935662
CityB,2019-11-28,0.6913932210941471,21.12532445997226,13.031387615587644,30.33796641807115,58.340086161085054,56.15747943177637,68.66021711801054,82.35309108781328,83.430341757806,93.74488516981226
